Test#,DlogMin,DlogUnit,LGMin,LGUnit,CompareMin,,DlogMax,DlogUnit,LGMax,LGUnit,CompareMax
1612031,454.395,mV,456.2304,mV,X,,463.574,mV,461.7382,mV,X
1612032,456.328,mV,458.1718,mV,X,,465.547,mV,463.7031,mV,X
1612033,458.262,mV,460.1132,mV,X,,467.52,mV,465.6679,mV,X
1612034,460.195,mV,462.0546,mV,X,,469.492,mV,467.6328,mV,X
1612035,462.129,mV,463.996,mV,X,,471.465,mV,469.5976,mV,X
1612036,464.063,mV,465.9375,mV,X,,473.437,mV,471.5625,mV,X
1612037,465.996,mV,467.8789,mV,X,,475.41,mV,473.5273,mV,X
1612038,467.93,mV,469.8203,mV,X,,477.383,mV,475.4921,mV,X
1612039,469.863,mV,471.7617,mV,X,,479.355,mV,477.457,mV,X
1612040,471.797,mV,473.7031,mV,X,,481.328,mV,479.4218,mV,X
1612041,473.73,mV,475.6445,mV,X,,483.301,mV,481.3867,mV,X
1612042,475.664,mV,477.5859,mV,X,,485.273,mV,483.3515,mV,X
1612043,477.598,mV,479.5273,mV,X,,487.246,mV,485.3164,mV,X
1612044,479.531,mV,481.4687,mV,X,,489.219,mV,487.2812,mV,X
1612045,481.465,mV,483.4101,mV,X,,491.191,mV,489.246,mV,X
1612046,483.398,mV,485.3515,mV,X,,493.164,mV,491.2109,mV,X
1612047,485.332,mV,487.2929,mV,X,,495.137,mV,493.1757,mV,X
1612048,487.266,mV,489.2343,mV,X,,497.109,mV,495.1406,mV,X
1612049,489.199,mV,491.1757,mV,X,,499.082,mV,497.1054,mV,X
1612050,491.133,mV,493.1171,mV,X,,501.055,mV,499.0703,mV,X
1612051,493.066,mV,495.0585,mV,X,,503.027,mV,501.0351,mV,X
1612052,495.0,mV,497.0,mV,X,,505.0,mV,503.0,mV,X
1612053,496.934,mV,498.9414,mV,X,,506.973,mV,504.9648,mV,X
1612054,498.867,mV,500.8828,mV,X,,508.945,mV,506.9296,mV,X
1612055,500.801,mV,502.8242,mV,X,,510.918,mV,508.8945,mV,X
1612056,502.734,mV,504.7656,mV,X,,512.891,mV,510.8593,mV,X
1612057,504.668,mV,506.707,mV,X,,514.863,mV,512.8242,mV,X
1612058,506.602,mV,508.6484,mV,X,,516.836,mV,514.789,mV,X
1612059,508.535,mV,510.5898,mV,X,,518.809,mV,516.7539,mV,X
1612060,510.469,mV,512.5312,mV,X,,520.781,mV,518.7187,mV,X
1612061,512.402,mV,514.4726,mV,X,,522.754,mV,520.6835,mV,X
1612062,514.336,mV,516.414,mV,X,,524.727,mV,522.6484,mV,X
1612063,516.27,mV,518.3554,mV,X,,526.699,mV,524.6132,mV,X
1612064,518.203,mV,520.2968,mV,X,,528.672,mV,526.5781,mV,X
1612065,520.137,mV,522.2382,mV,X,,530.645,mV,528.5429,mV,X
1612066,522.07,mV,524.1796,mV,X,,532.617,mV,530.5078,mV,X
1612067,524.004,mV,526.121,mV,X,,534.59,mV,532.4726,mV,X
1612068,525.937,mV,528.0625,mV,X,,536.563,mV,534.4375,mV,X
1612069,527.871,mV,530.0039,mV,X,,538.535,mV,536.4023,mV,X
1612070,529.805,mV,531.9453,mV,X,,540.508,mV,538.3671,mV,X
1612071,531.738,mV,533.8867,mV,X,,542.48,mV,540.332,mV,X
1612072,533.672,mV,535.8281,mV,X,,544.453,mV,542.2968,mV,X
1612073,535.605,mV,537.7695,mV,X,,546.426,mV,544.2617,mV,X
1612074,537.539,mV,539.7109,mV,X,,548.398,mV,546.2265,mV,X
1612075,539.473,mV,541.6523,mV,X,,550.371,mV,548.1914,mV,X
1612076,541.406,mV,543.5937,mV,X,,552.344,mV,550.1562,mV,X
1612077,543.34,mV,545.5351,mV,X,,554.316,mV,552.121,mV,X
1612078,545.273,mV,547.4765,mV,X,,556.289,mV,554.0859,mV,X
1612079,547.207,mV,549.4179,mV,X,,558.262,mV,556.0507,mV,X
1612080,549.141,mV,551.3593,mV,X,,560.234,mV,558.0156,mV,X
1612081,551.074,mV,553.3007,mV,X,,562.207,mV,559.9804,mV,X
1612082,553.008,mV,555.2421,mV,X,,564.18,mV,561.9453,mV,X
1612083,554.941,mV,557.1835,mV,X,,566.152,mV,563.9101,mV,X
1612084,556.875,mV,559.125,mV,X,,568.125,mV,565.875,mV,X
1612085,558.809,mV,561.0664,mV,X,,570.098,mV,567.8398,mV,X
